Notes	ManualCheck	MergeInto	RenameKeyGroup	KeyParamGroup	KeyGroup	ParamGroup	Counts	Dim1Size	Dim2Size	Dim3Size	EchoTime	EffectiveEchoSpacing	FlipAngle	HasFieldmap	ImageOrientation	KeyGroupCount	Modality	NSliceTimes	NumVolumes	Obliquity	ParallelReductionFactorInPlane	PhaseEncodingDirection	RepetitionTime	TotalReadoutTime	UsedAsFieldmap	VoxelSizeDim1	VoxelSizeDim2	VoxelSizeDim3
				datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	1	27	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010808		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__2	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	2	23	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010812		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__3	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	3	18	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010816		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__4	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	4	17	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010944		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__5	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	5	14	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010804		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__6	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	6	13	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010912		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__7	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	7	10	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010948		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__8	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	8	9	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010948		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__9	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	9	9	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010996		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__10	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	10	9	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01094		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__11	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	11	9	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010876		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__12	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	12	9	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010924		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__13	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	13	9	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010944		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__14	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	14	9	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01092		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__15	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	15	8	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.0109		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim1VoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__16	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	16	8	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010832		False	0.937	0.937	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__17	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	17	8	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010892		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__18	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	18	8	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01096		False	0.937	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__19	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	19	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010896		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__20	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	20	7	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010888		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTime_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__21	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	21	7	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.01088		False	0.938	0.938	1.2
			acquisition-VARIANTRepetitionTimeDim3SizeVoxelSizeDim1VoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__22	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	22	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010904		False	0.937	0.937	1.2
			acquisition-VARIANTRepetitionTimeVoxelSizeDim2_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__23	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	23	7	256	256	156	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010884		False	0.938	0.937	1.2
			acquisition-VARIANTRepetitionTimeDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w	datatype-anat_reconstruction-refaced_run-1_suffix-T1w__24	datatype-anat_reconstruction-refaced_run-1_suffix-T1w	24	7	256	256	152	0.0042		15	False	RAS+	722	anat	0	1.0	True			0.010956		False	0.938	0.938	1.2
